GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TraitorScript,parser,ExpStmt,9,0,0,0,1,0,2,0,2,0
TraitorScript,parser,ParseResult,0,15,0,0,0,1,0,3,0,3
TraitorScript,parser,VoidType,0,5,0,0,0,2,0,2,0,2
TraitorScript,parser,ParseException,0,4,0,0,0,2,0,1,0,1
TraitorScript,parser,Param,0,15,0,0,0,1,0,3,0,3
TraitorScript,parser,BlockStmt,9,0,0,0,1,0,2,0,2,0
TraitorScript,parser,NewExp,15,0,0,0,1,0,3,0,3,0
TraitorScript,parser,IntType,0,5,0,0,0,2,0,2,0,2
TraitorScript,parser,DivOp,3,0,0,0,1,0,1,0,1,0
TraitorScript,parser,ReturnStmt,3,6,0,0,1,1,1,1,1,1
TraitorScript,parser,BreakStmt,3,0,0,0,1,0,1,0,1,0
TraitorScript,parser,SubOp,0,3,0,0,0,1,0,1,0,1
TraitorScript,parser,AndOp,3,0,0,0,1,0,1,0,1,0
TraitorScript,parser,SelfType,3,0,0,0,1,0,1,0,1,0
TraitorScript,parser,WhileStmt,15,0,0,0,1,0,3,0,3,0
TraitorScript,parser,AbsMethodDef,0,21,0,0,0,1,0,4,0,4
TraitorScript,parser,OrOp,3,0,0,0,1,0,1,0,1,0
TraitorScript,parser,ConcMethodDef,0,27,0,0,0,1,0,5,0,5
TraitorScript,parser,EqOp,0,3,0,0,0,1,0,1,0,1
TraitorScript,parser,BinOpExp,0,21,0,0,0,1,0,4,0,4
TraitorScript,parser,CallExpr,15,0,0,0,1,0,3,0,3,0
TraitorScript,parser,FuncDef,9,18,0,0,0,1,3,2,3,2
TraitorScript,parser,PrintlnStmt,9,0,0,0,1,0,2,0,2,0
TraitorScript,parser,LessThanOp,0,3,0,0,0,1,0,1,0,1
TraitorScript,parser,Parser,1465,173,73,13,261,43,55,10,16,6
TraitorScript,parser,StructType,0,9,0,0,0,1,0,2,0,2
TraitorScript,parser,TraitDef,0,15,0,0,0,1,0,3,0,3
TraitorScript,parser,BooleanType,0,5,0,0,0,2,0,2,0,2
TraitorScript,parser,VarExp,0,9,0,0,0,1,0,2,0,2
TraitorScript,parser,IfStmt,21,0,0,0,1,0,4,0,4,0
TraitorScript,parser,SelfExp,3,0,0,0,1,0,1,0,1,0
